Kraj;Sprzedawca;Data zamowienia;idZamowienia;Utarg
Niemcy;Fuller;2003-12-20;10388;
Niemcy;Peacock;2003-12-24;10389;
Niemcy;Leverling;2003-12-31;10391;
Niemcy;Fuller;2004-01-01;10392;
Niemcy;Davolio;2004-01-03;10393;
Niemcy;Davolio;2004-01-03;10394;
Niemcy;Davolio;2004-01-06;10396;
Niemcy;Fuller;2004-01-09;10398;
Niemcy;Callahan;2004-01-08;10399;
Niemcy;Davolio;2004-01-16;10400;
Niemcy;Davolio;2004-01-10;10401;
Niemcy;Callahan;2004-01-10;10402;
Niemcy;Peacock;2004-01-09;10403;
Niemcy;Fuller;2004-01-08;10404;
Niemcy;Davolio;2004-01-22;10405;
Niemcy;Fuller;2004-01-30;10407;
Niemcy;Callahan;2004-01-14;10408;
Niemcy;Leverling;2004-01-14;10409;
Niemcy;Leverling;2004-01-15;10410;
Niemcy;Callahan;2004-01-15;10412;
Niemcy;Leverling;2004-01-16;10413;
Niemcy;Fuller;2004-01-17;10414;
Niemcy;Leverling;2004-01-24;10415;
Niemcy;Callahan;2004-01-27;10416;
Niemcy;Peacock;2004-01-28;10417;
Niemcy;Peacock;2004-01-24;10418;
Niemcy;Peacock;2004-01-30;10419;
Niemcy;Leverling;2004-01-27;10420;
Niemcy;Callahan;2004-01-27;10421;
Niemcy;Fuller;2004-01-31;10422;
Niemcy;Peacock;2004-02-06;10426;
Niemcy;Peacock;2004-03-03;10427;
Niemcy;Leverling;2004-02-07;10429;
Niemcy;Peacock;2004-02-03;10430;
Niemcy;Peacock;2004-02-07;10431;
Niemcy;Leverling;2004-02-07;10432;
Niemcy;Leverling;2004-03-04;10433;
Niemcy;Leverling;2004-02-13;10434;
Niemcy;Callahan;2004-02-07;10435;
Niemcy;Leverling;2004-02-11;10436;
Niemcy;Callahan;2004-02-12;10437;
Niemcy;Leverling;2004-02-14;10438;
Niemcy;Peacock;2004-02-28;10440;
Niemcy;Leverling;2004-03-14;10441;
Niemcy;Leverling;2004-02-18;10442;
Niemcy;Callahan;2004-02-14;10443;
Niemcy;Leverling;2004-02-21;10444;
Niemcy;Leverling;2004-02-20;10445;
Niemcy;Peacock;2004-03-07;10447;
Niemcy;Peacock;2004-02-24;10448;
Niemcy;Leverling;2004-02-27;10449;
Niemcy;Callahan;2004-03-11;10450;
Niemcy;Peacock;2004-03-12;10451;
Niemcy;Callahan;2004-02-26;10452;
Niemcy;Davolio;2004-02-26;10453;
Niemcy;Peacock;2004-02-25;10454;
Niemcy;Callahan;2004-03-03;10455;
Niemcy;Callahan;2004-02-28;10456;
Niemcy;Fuller;2004-03-03;10457;
Niemcy;Peacock;2004-02-28;10459;
Niemcy;Callahan;2004-03-03;10460;
Niemcy;Davolio;2004-03-05;10461;
Niemcy;Fuller;2004-03-18;10462;
Niemcy;Peacock;2004-03-14;10464;
Niemcy;Davolio;2004-03-14;10465;
Niemcy;Peacock;2004-03-13;10466;
Niemcy;Callahan;2004-03-11;10467;
Niemcy;Leverling;2004-03-12;10468;
Niemcy;Davolio;2004-03-14;10469;
Niemcy;Peacock;2004-03-14;10470;
Niemcy;Fuller;2004-03-18;10471;
Niemcy;Callahan;2004-03-19;10472;
Niemcy;Davolio;2004-03-21;10473;
Niemcy;Callahan;2004-03-24;10476;
Niemcy;Fuller;2004-03-26;10478;
Niemcy;Leverling;2004-03-21;10479;
Niemcy;Callahan;2004-03-25;10481;
Niemcy;Davolio;2004-04-10;10482;
Niemcy;Leverling;2004-04-01;10484;
Niemcy;Peacock;2004-03-31;10485;
Niemcy;Davolio;2004-04-02;10486;
Niemcy;Fuller;2004-03-28;10487;
Niemcy;Callahan;2004-04-02;10488;
Niemcy;Callahan;2004-04-08;10491;
Niemcy;Leverling;2004-04-11;10492;
Niemcy;Peacock;2004-04-10;10493;
Niemcy;Peacock;2004-04-09;10494;
Niemcy;Leverling;2004-04-11;10495;
Niemcy;Callahan;2004-04-11;10498;
Niemcy;Peacock;2004-04-16;10499;
Niemcy;Fuller;2004-04-29;10502;
Niemcy;Peacock;2004-04-18;10504;
Niemcy;Leverling;2004-04-21;10505;
Niemcy;Davolio;2004-05-13;10508;
Niemcy;Peacock;2004-04-29;10509;
Niemcy;Peacock;2004-04-21;10511;
Niemcy;Leverling;2004-05-16;10514;
Niemcy;Fuller;2004-05-23;10515;
Niemcy;Fuller;2004-05-01;10516;
Niemcy;Leverling;2004-04-29;10517;
Niemcy;Peacock;2004-05-05;10518;
Niemcy;Callahan;2004-05-02;10521;
Niemcy;Peacock;2004-05-06;10522;
Niemcy;Davolio;2004-05-07;10524;
Niemcy;Davolio;2004-05-23;10525;
Niemcy;Peacock;2004-05-15;10526;
Niemcy;Leverling;2004-05-12;10530;
Niemcy;Callahan;2004-05-22;10533;
Niemcy;Callahan;2004-05-14;10534;
Niemcy;Peacock;2004-05-21;10535;
Niemcy;Leverling;2004-06-06;10536;
Niemcy;Davolio;2004-05-19;10537;
Niemcy;Leverling;2004-06-13;10540;
Niemcy;Fuller;2004-05-29;10541;
Niemcy;Davolio;2004-05-26;10542;
Niemcy;Callahan;2004-05-23;10543;
Niemcy;Peacock;2004-05-30;10544;
Niemcy;Callahan;2004-06-26;10545;
Niemcy;Davolio;2004-05-27;10546;
Niemcy;Leverling;2004-06-02;10547;
Niemcy;Leverling;2004-06-02;10548;
Niemcy;Peacock;2004-06-06;10551;
Niemcy;Fuller;2004-06-05;10552;
Niemcy;Fuller;2004-06-03;10553;
Niemcy;Peacock;2004-06-05;10554;
Niemcy;Fuller;2004-06-13;10556;
Niemcy;Davolio;2004-06-10;10558;
Niemcy;Callahan;2004-06-09;10560;
Niemcy;Fuller;2004-06-09;10561;
Niemcy;Davolio;2004-06-12;10562;
Niemcy;Fuller;2004-06-24;10563;
Niemcy;Peacock;2004-06-16;10564;
Niemcy;Callahan;2004-06-18;10565;
Niemcy;Davolio;2004-06-17;10567;
Niemcy;Leverling;2004-07-09;10568;
Niemcy;Leverling;2004-06-19;10570;
Niemcy;Callahan;2004-07-04;10571;
Niemcy;Leverling;2004-06-25;10572;
Niemcy;Peacock;2004-06-30;10574;
Niemcy;Leverling;2004-06-30;10576;
Niemcy;Peacock;2004-07-25;10578;
Niemcy;Davolio;2004-07-04;10579;
Niemcy;Peacock;2004-07-01;10580;
Niemcy;Leverling;2004-07-02;10581;
Niemcy;Leverling;2004-07-14;10582;
Niemcy;Fuller;2004-07-04;10583;
Niemcy;Peacock;2004-07-04;10584;
Niemcy;Davolio;2004-07-09;10587;
Niemcy;Fuller;2004-07-10;10588;
Niemcy;Callahan;2004-07-14;10589;
Niemcy;Peacock;2004-07-14;10590;
Niemcy;Davolio;2004-07-16;10591;
Niemcy;Leverling;2004-07-16;10592;
Niemcy;Leverling;2004-07-16;10594;
Niemcy;Fuller;2004-07-14;10595;
Niemcy;Callahan;2004-08-12;10596;
Niemcy;Davolio;2004-07-18;10598;
Niemcy;Peacock;2004-07-21;10600;
Niemcy;Callahan;2004-07-22;10602;
Niemcy;Callahan;2004-08-08;10603;
Niemcy;Davolio;2004-07-29;10604;
Niemcy;Davolio;2004-07-29;10605;
Niemcy;Peacock;2004-07-31;10606;
Niemcy;Peacock;2004-08-01;10608;
Niemcy;Callahan;2004-08-06;10610;
Niemcy;Davolio;2004-08-01;10612;
Niemcy;Peacock;2004-08-01;10613;
Niemcy;Callahan;2004-08-01;10614;
Niemcy;Fuller;2004-08-06;10615;
Niemcy;Davolio;2004-08-05;10616;
Niemcy;Peacock;2004-08-04;10617;
Niemcy;Davolio;2004-08-08;10618;
Niemcy;Leverling;2004-08-07;10619;
Niemcy;Fuller;2004-08-14;10620;
Niemcy;Peacock;2004-08-11;10621;
Niemcy;Peacock;2004-08-11;10622;
Niemcy;Callahan;2004-08-12;10623;
Niemcy;Peacock;2004-08-19;10624;
Niemcy;Leverling;2004-08-14;10625;
Niemcy;Davolio;2004-08-20;10626;
Niemcy;Callahan;2004-08-21;10627;
Niemcy;Peacock;2004-08-20;10628;
Niemcy;Peacock;2004-08-20;10629;
Niemcy;Davolio;2004-08-19;10630;
Niemcy;Callahan;2004-08-15;10631;
Niemcy;Callahan;2004-08-19;10632;
Niemcy;Peacock;2004-08-21;10634;
Niemcy;Callahan;2004-08-21;10635;
Niemcy;Peacock;2004-08-26;10636;
Niemcy;Leverling;2004-09-01;10638;
Niemcy;Peacock;2004-08-28;10640;
Niemcy;Peacock;2004-08-26;10641;
Niemcy;Leverling;2004-09-01;10644;
Niemcy;Peacock;2004-09-02;10645;
Niemcy;Peacock;2004-09-03;10647;
Niemcy;Callahan;2004-09-11;10651;
Niemcy;Peacock;2004-09-08;10652;
Niemcy;Davolio;2004-09-19;10653;
Niemcy;Davolio;2004-09-11;10655;
Niemcy;Fuller;2004-09-15;10657;
Niemcy;Peacock;2004-09-08;10658;
Niemcy;Callahan;2004-10-15;10660;
Niemcy;Leverling;2004-09-18;10662;
Niemcy;Fuller;2004-10-03;10663;
Niemcy;Davolio;2004-09-19;10664;
Niemcy;Davolio;2004-09-17;10665;
Niemcy;Davolio;2004-09-23;10668;
Niemcy;Fuller;2004-09-22;10669;
Niemcy;Peacock;2004-09-18;10670;
Niemcy;Davolio;2004-09-24;10671;
Niemcy;Fuller;2004-09-19;10673;
Niemcy;Peacock;2004-09-30;10674;
Niemcy;Fuller;2004-09-29;10676;
Niemcy;Davolio;2004-09-26;10677;
Niemcy;Callahan;2004-09-30;10679;
Niemcy;Davolio;2004-09-26;10680;
Niemcy;Leverling;2004-09-30;10681;
Niemcy;Leverling;2004-10-01;10682;
Niemcy;Fuller;2004-10-01;10683;
Niemcy;Leverling;2004-09-30;10684;
Niemcy;Peacock;2004-10-03;10685;
Niemcy;Fuller;2004-10-08;10686;
Niemcy;Peacock;2004-10-07;10688;
Niemcy;Davolio;2004-10-07;10689;
Niemcy;Davolio;2004-10-03;10690;
Niemcy;Fuller;2004-10-22;10691;
Niemcy;Peacock;2004-10-13;10692;
Niemcy;Leverling;2004-10-10;10693;
Niemcy;Callahan;2004-10-09;10694;
Niemcy;Callahan;2004-10-14;10696;
Niemcy;Leverling;2004-10-14;10697;
Niemcy;Peacock;2004-10-17;10698;
Niemcy;Leverling;2004-10-13;10699;
Niemcy;Leverling;2004-10-16;10700;
Niemcy;Peacock;2004-10-21;10702;
Niemcy;Callahan;2004-10-21;10706;
Niemcy;Peacock;2004-10-23;10707;
Niemcy;Davolio;2004-11-20;10709;
Niemcy;Davolio;2004-10-23;10710;
Niemcy;Leverling;2004-10-31;10712;
Niemcy;Davolio;2004-10-24;10713;
Niemcy;Leverling;2004-10-29;10715;
Niemcy;Peacock;2004-10-27;10716;
Niemcy;Davolio;2004-10-29;10717;
Niemcy;Davolio;2004-10-29;10718;
Niemcy;Callahan;2004-11-05;10719;
Niemcy;Callahan;2004-11-05;10720;
Niemcy;Callahan;2004-11-04;10722;
Niemcy;Leverling;2004-11-25;10723;
Niemcy;Callahan;2004-11-05;10724;
Niemcy;Peacock;2004-11-05;10725;
Niemcy;Peacock;2004-12-05;10726;
Niemcy;Fuller;2004-12-05;10727;
Niemcy;Peacock;2004-11-11;10728;
Niemcy;Callahan;2004-11-14;10729;
Niemcy;Leverling;2004-11-07;10732;
Niemcy;Davolio;2004-11-10;10733;
Niemcy;Fuller;2004-11-12;10734;
Niemcy;Fuller;2004-11-18;10737;
Niemcy;Fuller;2004-11-18;10738;
Niemcy;Leverling;2004-11-17;10739;
Niemcy;Peacock;2004-11-25;10740;
Niemcy;Peacock;2004-11-18;10741;
Niemcy;Leverling;2004-11-18;10742;
Niemcy;Davolio;2004-11-21;10743;
Niemcy;Davolio;2004-11-21;10746;
Niemcy;Leverling;2004-11-28;10748;
Niemcy;Peacock;2004-12-19;10749;
Niemcy;Leverling;2004-12-03;10751;
Niemcy;Fuller;2004-11-28;10752;
Niemcy;Leverling;2004-11-27;10753;
Niemcy;Peacock;2004-11-28;10755;
Niemcy;Callahan;2004-12-02;10756;
Niemcy;Leverling;2004-12-04;10758;
Niemcy;Leverling;2004-12-12;10759;
Niemcy;Peacock;2004-12-10;10760;
Niemcy;Leverling;2004-12-09;10762;
Niemcy;Leverling;2004-12-08;10763;
Niemcy;Leverling;2004-12-09;10765;
Niemcy;Peacock;2004-12-09;10766;
Niemcy;Peacock;2004-12-15;10767;
Niemcy;Leverling;2004-12-15;10768;
Niemcy;Leverling;2004-12-12;10769;
Niemcy;Callahan;2004-12-17;10770;
Niemcy;Leverling;2004-12-19;10772;
Niemcy;Davolio;2004-12-16;10773;
Niemcy;Peacock;2004-12-12;10774;
Niemcy;Davolio;2004-12-18;10776;
Niemcy;Leverling;2004-12-24;10778;
Niemcy;Leverling;2005-01-14;10779;
Niemcy;Fuller;2004-12-25;10780;
Niemcy;Fuller;2004-12-19;10781;
Niemcy;Peacock;2004-12-19;10783;
Niemcy;Peacock;2004-12-22;10784;
Niemcy;Davolio;2004-12-24;10785;
Niemcy;Callahan;2004-12-23;10786;
Niemcy;Fuller;2004-12-26;10787;
Niemcy;Davolio;2005-01-19;10788;
Niemcy;Davolio;2004-12-31;10789;
Niemcy;Davolio;2004-12-31;10792;
Niemcy;Leverling;2005-01-08;10793;
Niemcy;Callahan;2005-01-20;10795;
Niemcy;Leverling;2005-01-14;10796;
Niemcy;Fuller;2005-01-05;10798;
Niemcy;Davolio;2005-01-05;10800;
Niemcy;Peacock;2004-12-31;10801;
Niemcy;Peacock;2005-01-02;10802;
Niemcy;Peacock;2005-01-06;10803;
Niemcy;Fuller;2005-01-09;10805;
Niemcy;Leverling;2005-01-05;10806;
Niemcy;Peacock;2005-01-30;10807;
Niemcy;Fuller;2005-01-09;10808;
Niemcy;Fuller;2005-01-07;10810;
Niemcy;Callahan;2005-01-08;10811;
Niemcy;Davolio;2005-01-09;10813;
Niemcy;Leverling;2005-01-14;10814;
Niemcy;Fuller;2005-01-14;10815;
Niemcy;Peacock;2005-02-04;10816;
Niemcy;Leverling;2005-01-13;10817;
Niemcy;Fuller;2005-01-16;10819;
Niemcy;Leverling;2005-01-13;10820;
Niemcy;Davolio;2005-01-15;10821;
Niemcy;Callahan;2005-01-30;10824;
Niemcy;Davolio;2005-01-14;10825;
Niemcy;Davolio;2005-02-06;10827;
Niemcy;Peacock;2005-01-21;10830;
Niemcy;Leverling;2005-01-23;10831;
Niemcy;Fuller;2005-01-19;10832;
Niemcy;Davolio;2005-01-19;10834;
Niemcy;Davolio;2005-01-21;10835;
Niemcy;Leverling;2005-01-23;10838;
Niemcy;Leverling;2005-01-22;10839;
Niemcy;Peacock;2005-02-16;10840;
Niemcy;Davolio;2005-01-29;10842;
Niemcy;Peacock;2005-01-26;10843;
Niemcy;Callahan;2005-01-26;10844;
Niemcy;Callahan;2005-01-30;10845;
Niemcy;Fuller;2005-01-23;10846;
Niemcy;Peacock;2005-02-10;10847;
Niemcy;Davolio;2005-01-30;10850;
Niemcy;Callahan;2005-01-30;10852;
Niemcy;Leverling;2005-02-05;10854;
Niemcy;Leverling;2005-02-04;10855;
Niemcy;Leverling;2005-02-10;10856;
Niemcy;Callahan;2005-02-06;10857;
Niemcy;Fuller;2005-02-03;10858;
Niemcy;Davolio;2005-02-02;10859;
Niemcy;Leverling;2005-02-04;10860;
Niemcy;Peacock;2005-02-17;10861;
Niemcy;Callahan;2005-02-02;10862;
Niemcy;Peacock;2005-02-17;10863;
Niemcy;Peacock;2005-02-09;10864;
Niemcy;Fuller;2005-02-12;10865;
Niemcy;Peacock;2005-02-09;10873;
Niemcy;Peacock;2005-03-03;10875;
Niemcy;Davolio;2005-02-19;10877;
Niemcy;Peacock;2005-02-12;10878;
Niemcy;Leverling;2005-02-12;10879;
Niemcy;Peacock;2005-02-18;10881;
Niemcy;Peacock;2005-02-20;10882;
Niemcy;Callahan;2005-02-20;10883;
Niemcy;Peacock;2005-02-13;10884;
Niemcy;Davolio;2005-03-02;10886;
Niemcy;Callahan;2005-02-16;10887;
Niemcy;Davolio;2005-02-23;10888;
Niemcy;Peacock;2005-02-19;10892;
Niemcy;Davolio;2005-02-20;10894;
Niemcy;Leverling;2005-02-23;10895;
Niemcy;Leverling;2005-02-25;10897;
Niemcy;Peacock;2005-03-06;10898;
Niemcy;Davolio;2005-03-04;10900;
Niemcy;Peacock;2005-02-26;10901;
Niemcy;Davolio;2005-03-03;10902;
Niemcy;Leverling;2005-03-04;10903;
Niemcy;Leverling;2005-02-27;10904;
Niemcy;Peacock;2005-03-03;10906;
Niemcy;Peacock;2005-03-06;10908;
Niemcy;Davolio;2005-03-10;10909;
Niemcy;Davolio;2005-03-04;10910;
Niemcy;Leverling;2005-03-05;10911;
Niemcy;Fuller;2005-03-18;10912;
Niemcy;Peacock;2005-03-04;10913;
Niemcy;Fuller;2005-03-02;10915;
Niemcy;Davolio;2005-03-09;10916;
Niemcy;Peacock;2005-03-11;10917;
Niemcy;Leverling;2005-03-11;10918;
Niemcy;Fuller;2005-03-04;10919;
Niemcy;Peacock;2005-03-09;10920;
Niemcy;Davolio;2005-03-09;10921;
Niemcy;Leverling;2005-04-08;10924;
Niemcy;Leverling;2005-03-13;10925;
Niemcy;Peacock;2005-03-11;10926;
Niemcy;Peacock;2005-04-08;10927;
Niemcy;Davolio;2005-03-18;10928;
Niemcy;Peacock;2005-03-18;10930;
Niemcy;Peacock;2005-03-19;10931;
Niemcy;Callahan;2005-03-24;10932;
Niemcy;Leverling;2005-03-12;10934;
Niemcy;Peacock;2005-03-18;10935;
Niemcy;Leverling;2005-03-18;10936;
Niemcy;Leverling;2005-03-16;10938;
Niemcy;Fuller;2005-03-13;10939;
Niemcy;Callahan;2005-03-23;10940;
Niemcy;Peacock;2005-03-19;10943;
Niemcy;Peacock;2005-03-18;10945;
Niemcy;Davolio;2005-03-19;10946;
Niemcy;Leverling;2005-03-16;10947;
Niemcy;Leverling;2005-03-19;10948;
Niemcy;Fuller;2005-03-17;10949;
Niemcy;Davolio;2005-03-23;10950;
Niemcy;Davolio;2005-03-24;10952;
Niemcy;Callahan;2005-03-20;10955;
Niemcy;Callahan;2005-03-27;10957;
Niemcy;Leverling;2005-04-08;10960;
Niemcy;Callahan;2005-03-30;10961;
Niemcy;Callahan;2005-03-23;10962;
Niemcy;Leverling;2005-03-24;10964;
Niemcy;Peacock;2005-04-08;10966;
Niemcy;Fuller;2005-04-02;10967;
Niemcy;Davolio;2005-04-01;10968;
Niemcy;Davolio;2005-03-30;10969;
Niemcy;Fuller;2005-04-02;10971;
Niemcy;Peacock;2005-03-26;10972;
Niemcy;Leverling;2005-04-03;10974;
Niemcy;Davolio;2005-03-27;10975;
Niemcy;Davolio;2005-04-03;10976;
Niemcy;Callahan;2005-04-10;10977;
Niemcy;Callahan;2005-03-31;10979;
Niemcy;Peacock;2005-04-17;10980;
Niemcy;Davolio;2005-04-02;10981;
Niemcy;Fuller;2005-04-08;10982;
Niemcy;Fuller;2005-04-06;10983;
Niemcy;Davolio;2005-04-03;10984;
Niemcy;Fuller;2005-04-02;10985;
Niemcy;Callahan;2005-04-21;10986;
Niemcy;Callahan;2005-04-06;10987;
Niemcy;Leverling;2005-04-10;10988;
Niemcy;Fuller;2005-04-02;10989;
Niemcy;Fuller;2005-04-07;10990;
Niemcy;Davolio;2005-04-07;10991;
Niemcy;Davolio;2005-04-03;10992;
Niemcy;Fuller;2005-04-09;10994;
Niemcy;Davolio;2005-04-06;10995;
Niemcy;Peacock;2005-04-10;10996;
Niemcy;Callahan;2005-04-13;10997;
Niemcy;Callahan;2005-04-17;10998;
Niemcy;Fuller;2005-04-14;11000;
Niemcy;Fuller;2005-04-14;11001;
Niemcy;Peacock;2005-04-16;11002;
Niemcy;Leverling;2005-04-08;11003;
Niemcy;Leverling;2005-04-20;11004;
Niemcy;Fuller;2005-04-10;11005;
Niemcy;Leverling;2005-04-15;11006;
Niemcy;Callahan;2005-04-13;11007;
Niemcy;Fuller;2005-04-10;11009;
Niemcy;Fuller;2005-04-21;11010;
Niemcy;Leverling;2005-04-13;11011;
Niemcy;Davolio;2005-04-17;11012;
Niemcy;Fuller;2005-04-10;11013;
Niemcy;Fuller;2005-04-15;11014;
Niemcy;Fuller;2005-04-20;11015;
Niemcy;Peacock;2005-04-16;11018;
Niemcy;Fuller;2005-04-16;11020;
Niemcy;Leverling;2005-04-21;11021;
Niemcy;Davolio;2005-04-24;11023;
Niemcy;Peacock;2005-04-20;11024;
Niemcy;Peacock;2005-04-28;11026;
Niemcy;Davolio;2005-04-20;11027;
Niemcy;Fuller;2005-04-22;11028;
Niemcy;Peacock;2005-04-27;11029;
Niemcy;Fuller;2005-04-23;11032;
Niemcy;Callahan;2005-04-27;11034;
Niemcy;Fuller;2005-04-24;11035;
Niemcy;Callahan;2005-04-22;11036;
Niemcy;Davolio;2005-04-30;11038;
Niemcy;Leverling;2005-04-28;11041;
Niemcy;Fuller;2005-05-01;11042;
Niemcy;Peacock;2005-05-01;11044;
Niemcy;Callahan;2005-04-24;11046;
Niemcy;Leverling;2005-05-01;11052;
Niemcy;Fuller;2005-04-29;11053;
Niemcy;Callahan;2005-05-01;11056;
Niemcy;Leverling;2005-05-01;11057;
